,teks,sentimen
276,kira jabat sering pura pura miskin dulu baru tau sebab mau ngerasain miskin kasih tau opini mahal ukur murah batas kota muat banyak orang tipikal orang indonesia keluarga makin banyak bangku makin laku lebih bagasi makin kecil makin sepi minat biaya pake bbm biaya murah beberapa orang atas bilang indonesia murah banding negara tetangga logika tinggal indonesia bukan negara nyata random warga mahal arti warga indonesia harga lumayan mahal pandang banyak warga kpd pln suram suka mainin harga harga sama daya harga kurang suku cadang warga suka murah suku cadang mahal pasar makin sempit daya tahan warga suka tahan banting maksud sini bukan tabrak kebal bawa lintas daerah pulau kuat ama nama jalan batu berlobang lain contoh kek viral kemarin lewat jalan lampung yakin bakal tahun sampe tahun keluarga rantau jauh kampung aceh kerja papua masuk akal beli daya tahan lebih lemah kaleng bensin komponen utama mesin rusak harga ganti hampir harga beli baru tempat charging banyak pikir tempat cas susah temu nyata iya mungkin nama pom cuman kota besar geser dikit pinggir mungkin susah temu warga bego bego pajak murah tetap pajak lain warga sering dibegoin mungkin dibegoin terus pake trik sama lagi harga pajak permanen sama ganti presiden ganti harga pajak,0
563,coba jt rame beli malah lebih mahal bensin apa gila dg segala kurang kok minta harga mahal perintah bodoh sih turut,0
594,bukan ngk laku tpi butuh proses dulu motor matik siapa suka sekarang semua motor hampir matik,0
367,coba kaya bensin isi cepat menit isi kaya spbu bensin harga kaya bensin mampu angkut kaya bensin usah banyak teori kosong laku geser bensin orang lebih harga waktu kescepatan simpel daya,0
936,listrk tampil jelek,0
586,cuma project fatamorgana liat baik pdahal sama batu bara,2
784,tempat cas sedia dulu,0
789,rakyat murah,2
185,rakyat mau gratis makan koruptor,2
1389,motor batrai nyewa mungkin berat hitung lebih boros motor bensin banyak motor jarang jalan,0
1471,mikir begini mbok kolaborasi usaha indonesia buka lapang kerja lebih baik kasi negeri mas banyak generasi prestasi kurang untung sebenernya layak kerja dpt kerja coba fokus minim tahun mikiri lapang kerja lebih manfaat mikiri subsidi kendara sebenernya jg signifikan,2
1512,apa kabar padahal negri luar biasa dapat negara,0
1498,coba lihat wuling ev jt indonesia harga jadi jt hampir semua investor tahan produksi ev indonesia kurang pajak serta desain bangun infrastruktur charging spot rata masalah perintah punya kurang pajak untung semua pihak insentif sangat mudah rubah ubah ubah mudah sifat,0
1478,bukan dar hilir nikel makin cepat eropa beri larang nikel,1
522,alas sederhana harga ne msh mahal batre ganti th pdh mahal orang indonesia lebih suka murah awet,2
943,kendara dinas perintah pake bensin ditawarin pke ganti aki ogah an kendara bensin akalin dlu l aki cas,0
1436,desain motor listrikny jelek jelek,0
214,ngeliat banyak orang miskin hidup usaha kaya indo beli bekas bangga suruh beli baru harga miliar,0
179,uwong e dewe sek demen krunggu suara motor seng br br br stutu tuutu nging nging dot doot guook,2
566,bukan masalah harga ntar mati jalan solusi gimana bensin warung jual ecer,0
1080,ikn produk rezim jukong ujung bebanin rakyat,1
107,coba harga puluh juta motor harga juta yakin banyak beli rusak jual rusak jual banyak second otomatis onderdil limpah,2
1114,bukan laku harga mahal stasiun charging sedia seluruh indonesia sebab,2
1227,tanya besar truk trailer tronton dl masuk truk tambang gede rumah ev,2
226,alas sepi minat bukan daya angkut bawa mudik kelas ekonomi teknologi sebut untuk kelas target kelas ekonomi tengah atas punya bagi buat commuting kerja bagi buat jalan keluarga kelas lirik ev padahal yakin deh rumah lebih sanggup pribadi alas samping fitur teknologi harga per dimensi masuk akal contoh bawah ambil contoh tipe tinggi angka harga rupiah per cm kubik dimensi sigra rupiah cm avanza rupiah cm innova rupiah cm calya rupiah cm brio rupiah cm rush rupiah cm agya rupiah cm br v rupiah cm wr v rupiah cm ayla rupiah cm veloz rupiah cm xpander rupiah cm terios rupiah cm hr v non turbo rupiah cm raize rupiah cm creta rupiah cm confero rupiah cm almaz rupiah cm stargazer rupiah cm omoda rupiah cm air ev rupiah cm ioniq rupiah cm mg ev rupiah cm perlu jauh mau ngejar digdaya sigra avanza bahkan xpander muat banyak bawa mudik angka rupiah per cm perlu ngejar hyundai creta hrv dulu deh banyak kota kota besar bawa mudik angka rupiah per cm air ev harga lumayan rupiah per cm bentuk aneh mungkin buat dimensi besar raize wr v harga per dimensi rupiah per cm lebih laku ioniq angka hampir rupiah per cm x lipat kelas hr v creta innova kelas crv cuma rupiah per cm mg ev bikin lawak waktu lom kasih tau harga sesumbar harga sangat kejut gebrak pasar ev negeri pas rilis harga nyata rupiah cm cuma beda tipis sama hyundai ioniq padahal brand image jomplang simpul main kelas hrv creta raize harga kisar rupiah cm laku keras pasti bayang creta bbm juta creta ev juta innova bbm juta innova ev juta,2
1270,transportation public nyaman cepat mau,2
9,adil rata terima subsidi jangan jangan pajak pph msh subsidi perintah khianat pancasila sila lima adil seluruh rakyat indonesia mmg mau rata bagus usa subsidi sama sekali untung subsidi rata umum alih kendara bbm lebih cepat efek apa kurang konsumsi subsidi bbm kurang polusi tingkat minat pihak swasta dl ikut partisipasi investasi ekosistem motor,0
1138,perintah bodoh buat subsidi karna punya bisnis punya otak subsidi kendara umum bas,2
207,simple sih harga mahal muraj justru worth beli,2
1113,sebenernya sama soal lingkung baterai rusak lingkung buat baterai buang sampah baterai blm bahas masalah sampah baterai harga sama bahkan lebih mahal rusak baterai harga sama kyk beli baru jarak tempuh pendek waktu charge buat enggan alih pake bensin tinggal isi langsung jalan,0
941,klu kurang suka sama model,2
1442,naik keliling kota cakep batrai habis bingung ngecarsnya mungkin lebih baik naek nta haus minum ppsnya wo,2
1419,infrastruktur masif,0
1510,ingat kerja sama sama musk pertama ketemu tangan dlu bisnis mungkin tuju,2
178,padahal bagus mahal banget atur jt bagus hampir ratus juta mungil banget harga hrv mending beli hrv kecil kaya upil,0
317,model kurang tarik isi daya ribet lama,0
980,pernah dengar baterai tahun performa turun ganti baterai harga tengah harga,2
425,harus produksi kendara bahan bakar kurang benar minim produsi produsen kendara dorong alih kendara genjot produksi mau mau konsumen alih kendara,0
1358,susah ngisi ulang ces batre,0
1513,antar anak sekolah antar bantu pasar klw jauh klw jebak macet abis dorong pulang,0
995,lebih penting urus perut n biaya sekolah,2
1205,butuh masyarakat indonesia lapang kerja,1
239,masalah warga indo banyak punya mampu beli kendara roda mikir orang beli mending deh pikirin transportasi umum mudah hidup masyarakat,0
708,arti bukan era bodoh rakyat kuasa gaptek rakus kendara bas batterai sampah radioaktive nuklir legal tak lebih baik fosil fuel jauh lebih rusak bumi tambang makin uras lahan ekosistem tunjang hidup seluruh makhluk bumi masuk kalian semua hai manusia bahan bakar biodiesel hydrogen methanol ramah lingkung kembang indonesia bukan malah batterai banyakin,0
665,kta demokrat punya moel,2
358,subsidi,1
414,batrerai awet terus mahal paling tahun ganti,2
1404,benar harus perintah mndukung kndaraan umum subsidi bus krl dl jangkau masyarakat bukan malah disuru beli motor baru tambah macet atuh,0
368,isi daya daerah,0
1500,patut duga jd lahan korupsi kongkalikong produsen perintah pajak tahun lama tahun biaya lain lebih jt,0
840,yng ingin rakyat beli kendara tpi pajak,0
41,yakin masyarakat alih apabila harga sama bahan bakar fosil produsen beri wajib produksi bentuk sama bahan bakar fosil biasa produksi buat versi murah ukur kecil ingat masyarakat beli mayoritas beli kendara bawa keluarga,0
865,lama ngcassnya batrai awet jam keluh,1
753,indah dulu sering kendara naik kereta kuda,2
1432,bikin tambah muaceet,2
818,masyarakat butuh pribadi baik transportasi sedia lebih convenient hongkong singapore,1
43,bukan mau beli terlalu mahal,0
1150,moeldoko adaalah milik usaha motor motor gesit wajar koar masyarakat pindah kendara pernah kritik perintah cepat kesah undang undang subsidi kendara produk beli perintah,0
1304,produksi begitu mending genjot b b jelas bantu rakyat kecil tani sawit harga sawit makin anjlok sampe sekarang,0
474,upah warga jangan sama upah si menteri jangkau menteri ucap jangkau warga jelas beda rasa,0
236,kendara benar lebih simple kata fre maintenance spt diesel gasoline drive vehicle bicara ev bukan masalah effisien kwh km vs ltr km msh more or les gantung kendaraanya bicara electric vehicle kait energy bersih zero emisi urgency milik masyarakat indonesia negara kembang harga ev sangat mahal banding kendara konvensional perlu difikirkan perintah mesti konsep transform angkut masal perlu prioritas dg ev tuju dg ide anies kait bijak beri subsidi tax reduksi ev sgt gampang laku dimensi buah bijak bukan solusi baik rubah mekanisme transportasi masal konvensional ev bnyk regulasi infrastructure intensive bicara ahli jadi buah urgency indonesia kurang ahli dlm rumus bijak perintah tepat dlm ambil bijak ayo jokowi bapak bisa perlu risih ide anies baswedan tpi bangsa prioritas ide transformasi angkut umum konvensional dg ev electric drive,0
639,wuling ev juta harga juta laku sukses,2
582,umur batrai batas cara daur ulang efisien jangan sampe th depan sampah batrai malah polutan,0
889,jga banyak pake batubara jga mau ganti jga sama,2
1411,blong rem tanya siap betul siap market sistem,0
270,kata siape laku inden buat beli hyundai,0
808,buka laku punya duit poko kendara an maju orang orang indonesia ngerasain dampak ekonomi semangat indonesia maju,1
1090,sebentar buming,0
636,jane yo tuku gawe madang wae jeh keponthal ponthal kx,1
228,miskin belagu mahal makanya ngk beli juta beli,1
468,krna dunia alami krisis,0
878,ev nanjak plus stop go tanjak mogok tengah jalan gara gara quality control mumpuni kayak tahun depan baru ganti konversi ev,0
247,mahal mampu beli golonvan masyrkt tengah,1
731,harga murah juta suku cadang mudah pabrik baterai subsidi hrg bartey motor kualitas tinggi,2
438,lama sumber pltu pltd percuma pakai pindah polusi,0
1030,isi lebih lama bbm beli harga mahal enak harga murah isi coba diswap baterai kurang waktu isi jarak tempuh harus tingkat jangan mangkrak hilang teknologi saran rakyat jangan paksa alih pengaruh biaya konversi sipengguna mampu biar macam macam kendara bahan bakar,0
1393,saran subsidi brand bagus dong kymco xiaomi honda kwalitas bagus,0
1237,syarat ribet beli kendara subsidi,0
939,sepi minat harga gila lebih biasa masuk akal harga murah biasa jt an deh bahkan bawah harga model wuiling jt an gila waras,2
173,pesawat pakai pertamna,0
757,perlu rakyat bukan cuma kota pakai blusukan daerah jala rusak turun naik lumpur banjir situ masyarakat percaya,0
1016,kisar jt model avanza muat tumpang jamin laku china murah kok,0
549,lebih untung guna kendara bbm subsidi bbm banyak mafia cukong jepang milik industri otomotif indonesia bakal mau bagi untung main baru kendara milik pribumi,2
123,buat orang gunung bencana mahal bentuk jelek suara jelek lebih berat bahaya topografi tanjak contoh formula e badut motorsport,0
284,punya paham beli beli terus tinggal pakai handphone awat servis rutinitas charging station sedikit,2
154,mau banget ganti ev mau wuling merek lebih established skema gampang wuling ev harga jt jadi standar perintah subsidi toyota bzx honda prologue hyundai ioniq harga sumpah bakal banyak ganti ev,2
1480,bebek bagi orag mlarat kok cuman sedikit orag mlarat mampu beli motor cuk,0
381,bentuk lucu main,2
479,tau apa muldogdog tau mo rebut demokrat doank anis gagal nyampres,0
242,analisa tolol bukan tak laku daya beli tak,0
1483,negara eropa infrastruktur transportasi publik lajur kaki siap lebih kemudian baru laku insentif beri dampak jauh lebih baik,0
1499,pny rata otomotif bnyk duit tau sya isi listrikny jga blom desa tempat tentu tuju dg paksa banget pdhal semua bom siap,0
1127,negara bnyak datar tinggi gunung kalang tengah tak mampu milik rekreasi pakai konvensional lebih tenaga,2
985,suruh masyarakat alih ev perintah dulu banyak transportasi umum punya perintah bus ev kasih contoh dulu,2
442,harus laris subsidi perintah beberapa timbang sih harga jauh lebih mahal kendara bbm ukur compact orang indonesia lebih suka muat banyak pergi sama keluarga layan terminal charger pada kondisi medan jalan banyak jalan indonesia kurang mulus tanjak terjal mampu libas tanjak tumpang penuh kota baru beberapa punya rata punya puluh,0
799,ilangin dulu pajak beli sm pajak masuk indo rame beli mulai rame baru mulai adain pajak pelan,0
304,kayak hidrogen lebih pas buat kendara masa depan deh tinggal isi hidrogen kaya isi bensin puter kunci terus jalan perlu nunggu ngecharger lama,0
682,buat makan lancar udh alhmdulilah,2
1182,teknologi matang betul segi daya tempuh durasi isi daya kembang lebih baik depan lebih bijak kembang bahan bakar lebih ramah lingkung lebih mudah adopsi mesin sekarang parah dg macet kendara ebih baik transportasi umum kalaupun mau kebut lebih pas motor roda,2
1004,masuk honda e harga bawah jt auto laris,1
812,biasa tar jg paksa,0
473,mending ontel jtaan,0
1110,jk makin murah n canggih baterai motor oasti makin laku subsidi bbm rang hapus pertalite solar b b,0
589,awas copet ngomong,2
184,perintah pernah serius bangun lanjut,0
867,bagaimana rakyat mau beli infrastruktur isi baterai percuma,0
795,benar kata anies,0
64,sedia dulu wc tempat berak jangan udh mau berak baru siap biasa sih mnrt negara rncakan matang dl sblm jalan terima baru masa lebih pintar kalian das sih kyknya,0
1022,guna batu bara,1
604,bicara krndaraan otomatis tringat mna nnt padahal pln megang bangkit besar notabene rata batubara sekarang pegang anak usaha bicara batu bara jg erat polusi lantas mana supply butuh nnt bangkit pengahasil daya besar jg byk bangun sedgkan negara tekan zero emisi sumber bangkit batubara sendiri lantas titik temu lihat solusi situ peyuluhan ttg kendara sulit masyarakat bel sekarang knp kunjung byk spklu buat td mana supplynya spklu bukan enak sembarang buat bangkit tahun belakang sama nambah cuma sdgkan siap charging cepat tara rumah golong r kecil rumah gol r let s thinking,0
88,harga baterai capai harga daya tahan bahan timbang penting sih hitung ongkos per bulan mungkin lebih murah mirip bbm masalah konvensional keluar bulan lihat mahal diabnding sekali ganti baterai bakal mirip kayak beli baru,0
1438,buang duwit rakyat miskin insetif apa bijak masuk akal buang duwit untung orang kaya,0
1149,harus ev lebih murah mesin komponen lebih sederhana banyak part model rasional minim ban kecil,0
1136,orang gunung bingung pakek,1
1303,ken ancur,2
660,mending subsidi transportasi publik bangun transportasi umum bikin macet,1
188,mimpi les nge charge ber jam bbm polusi mana mngkin polusi hilang mngkin laku keras deh tu ev mo murah malas beli mndingan beli bbm biasa,0
747,laku kota besar karna daya mengeces kendara blum sluruhnya indonesia pom daya jangkau beli jangkau kalang tengah bawah,2
429,subsidi alat tani harap timbang,1
1291,kelas kambing jual juta mending beli mercedes benz,0
1099,masalah mahal minta ampun ngebandrol harga kaya surup,0
1043,siapa mau beli lucu kayak gitu guna konvensional lihat aneh lucu kayak gitu harga mahal mana mau beli,2
773,narasi oposisi mulu ni channel,0
919,masukke indonesia sesuai selera imdonesia mpv suv cros kutu ev sedan ev harga atas m,2
19,bapak luhut panjaitan yth baik pakai dulu dinas masyarakat lihat hasil jangan dijejeli subsidi laku pakai logika maaf masyarakat beli terimakasih,2
678,ganti cel batrai mahal sampe ratus juta,2
857,kirain esemka tak tahu cina,1
1388,lebih pilih kendara bahan bakar fosil,0
169,rakyat butuh makan bukan listik,0
1337,orang tani pajero fortuner masak kurang meciing,0
1377,kendaran jangan subsidi trs bos ku jalan muat mau lebar pulau penuh aspal,2
891,orang papua asmat kalu salah rela motor dimodip motor lebih murah biyaya,1
288,paling benar lebih butuh masyarakat transportasi umum layak utama kereta bukan percuma gembar gembor sumber sendiri pakai sumber daya ramah lingkung baru bara tingkat polusi jakarta tetap tinggi fokus alih guna bahan bakar fosil guna pikir aspek lain sendiri sepenuh atas solusi macet bagai kota besar indonesia waktu cek harga harga affordable buat orang banyak besar ratus juta walaupun subsidi bicara soal infrastruktur dukung lain spklu jumlah batas masalah lain kait transportasi umum layak ramah lingkung utama kereta kemenperin justru hambat ada impor krl bekas jepang alas tkdn jadi shortage jumlah armada krl operasi jabodetabek jogja solo mau tambah jalur krl bandung jalan krl dapat kurang jadwal jam tentu rangkai krl dulu kereta sekarang lebih banyak guna kereta bahkan jam sibuk lanjut akibat tumpu tumpang stasiun krl jadi makin penuh lanjut akibat ketidakpuasan guna layan jasa transportasi krl terus sini inka selaku bumn bidang industri kereta api masalah lain inka sanggup produksi krl sesuai spesifikasi tetap sesuai kuantitas bagaimana butuh kai bicara masalah kualitas hasil akhir produk inka dapat pabrik baru banyuwangi madiun ada pmn inka tahun harap inka maksimal rnd produksi kereta kualitas produk jadi lebih baik umum lebih dukung dorong guna transportasi umum masuk industri dukung ketimbang kendara walaupun dua sama sama beri lapang kerja efek jangka panjang seluruh lebih baik perintah fokus transportasi umum,0
690,dorong yamaha honda segera keluar motor baru boom motor sekarang cina cina an blm tarik banyak konsumen indonesia,0
1430,apabole jt subsidi sekolah ahli otomotiv satu murid apa iya produksi semua instrumen lokal apa benar krisis bgini motor bikin perut kenyang apa mungkin tuker tambah sama motor bensin dapet jt,2
1068,sama sekali butuh ev butuh transport umum konektivitas mau ln singapura australia china japan dl bosen naik kendara pribadi mau gantung naik turun harga bbm ato kpn bangun jalan tgh kota bawah tanah sambung antar gedung dl,0
56,rakyat dong pikir jangan bisdis hitung hitung rugi rakyat dakkayak,0
187,mahal lengkap msh batas siapa mw beli,0
1403,biarpun subsidi kebel semua punya kendara sendiri makin macet jalan jasa angkut naik hasil cuma cukup butuh hari hari,0
225,analogi plts ev pln bbm instalasi murah ongrid dukung perintah maksa pasang denda offgrid harga langit kalkulasi padan pakai pln,2
1044,korea cuma jt an harga awal jt an jt an subsidi perintah kualitas bagus,2
446,aduuh jauh ev bajaj qute buat antar jemput anak sekolah harga dimurahin jangan dimahalin murah irit bbm subsidi bbm hemat,0
197,orang kaya mikir beli contoh beli hyundai ioniq harga segitu dpt pajero fortuner biji puluh agya ayla avanza xenia jaz sparepart sedia banyak jangkau harga jual punya lebih mahal bensin masalah baterai spareparts dl jamin long life produk gagal deh mending bikin tenaga air energi gratis tinggal ambil air kran,0
1226,bagus banget sih asal batre jarak jauh awet terus isi mana mana kayak pom bensin penting cepat tetap bagus jadi jadi pertama pikir dulu,0
1454,gantung dl orang rat luhut msh orang kayak gitu abis subsidi embat sama,0
180,ev sangat bahaya tiba bakar tanda api sangat sulit padam pikir x alih ev,0
973,jt dapet ev,2
890,nih wajah orang hobi bikin rakyat susah,0
191,coba jakarta rame karna alesan ganjil genap kena trus banyak ev charging gratis,0
12,kampung sekarang banyak banget bocil sama cewek pake motor,2
447,jangan mau beli naik ingat kasus dulu minyak tanah gas dulu gas murah isi ful sekarang gas mahal isi lebih tengah,0
736,rakyat mau merek kenal honda suzuki jelasx baik merek baru siapa mau beli mau motor terbang blm,2
963,pake batrei sih coba reaktor minat,2
906,tak mampu beli,0
1121,pseudosubsidi alias wong subsidi kok harga tambah mahal udang balik subsidi,2
132,tetap tuju ramah lingkung kendaran bahan bakar bensin kurang makin sempit jalan macet jalan,0
393,sekali cas sampe surabaya beli,0
1489,wacana sama esemka,1
485,mau fokus kendara fokus dulu bangun tempat cas banyak titik contoh spbu rest area rumah makan dl,2
68,jt bawah bukan harga jangkau orang mikir beli ev harga jt cuma ukur agya harga agya sendiri jauh bawah ev mau laku gampang bikin harga jual mirip sama harga lcgc,2
654,alhamdulilah dulu kalah sama kendara bensin lebih modern sejarah jg dulu selalu kalah,2
1042,lemah pake rasa cuman masalah charging bingung ngecas woi tengah jalan lebih oke,1
1010,inti sedia stasiun percuma subsidi banyak banyak stasiun sangat minim,0
403,beli harga tinggi dulu kira juta lebih baik beli avanza bekas harga juta,2
133,kmarin inflasi naik bbm mas blm solusi sampeksekarng apa kerja gaji naik,2
1194,harga bawah dong,2
192,masuk wuling bingo lini depan byd bawah jt boom problem solve,0
1280,buagus banget harga mahal harga murah benar kayak main tetap mau cuma belakang saja nunggu tempat ngecas banyak dulu nabung buat beli bagus,2
176,harga misal jt kn lumayan mahal terus baterai rusak n beli baru an juta yak,1
241,atur jelas sarana pada lahan tilang baru oknum polisi,0
497,sbg second car pakai air ev irit jt sbulan jalan km bulan komparasi mbl km l pakai pertamax puas benar mikir bensin,0
258,laku harga terlalu mahal,2
1098,ada transparasi harga baterai bikin malas mau laku jamin sedia baterai generasi baru harga lebih murah masa datang jangan anggap beli kayak beli hp th resale value,0
663,atur subsidi motor sangat lucu dapat subsidi buat orang miskin pernah mrnerima sedang terima bantu perintah subsidi laku orang pernah terima bantu perintah makanya laku untung pabrik rakit motor negara china,0
742,paksa rakyat kecil nama paksa hendak rakyat korban penting investor aseng,0
940,politik politik rakyat selalu alamat,0
729,ingin rakyat sejahtera rata lapang kerja banyak sembako jangkau,2
528,jls la mnyentuh rakyat kecil indonesia bos kaya makin kaya miskin makin miskin korup makin korup uura,0
410,fasilitas cas banyak orang mikir mau cas bawa jalan,0
495,alhamdulillah bgtu mahal harga mayoritas beli orang kalang atas msh subsidi negara bgtu jomplang masyarakat krg punya,2
448,buka laku duit jamn skrang buat keluarga penting pake ckp,2
238,sih pribadi rezeki banyak beli sayang beli motor bbm biasa susah,0
1161,konversi motor usia tahun,1
294,beli toyota transmover,0
17,kendaran plg rawan bakar mudah padam,0
829,onderdil mahal baterai dl jangkau,0
1453,semua kendara pakai tidur nyenyak ndk bising kendara lewat depan rumah lanjut mudah harga murah,0
597,gawat itu sedia minyak mentah indonesia tingkat polusi negri gala kendara benar benar serius kongkalikong petinggi petinggi negri wallahu alam,0
645,bilang rakyat minat wuling air ev ioniq lebih tesla pura bego goblok nanya minat,2
1009,ngomong mau begal partai,0
261,bentul mau tukar cara stop impor kendara bbm semua kecuali,0
1125,awal paling sayang harga punya gagah atas jt arti cuma orang kaya beli ful ev seater harga jt padat jalan indonesia,2
758,rakyat pintar tahu berapa sih benar modal motor erti harga jual indonesia mark up gila gila kemudian rakyat tahu harga jual motor bekas jatuh banget komponen mahal baterai soak rakyat sekarang semua pakai smartphone tahu dong lama lama daya pakai handphone sama ngedrop baterai soak sering charge handphone masyarakat bodoh mau bilang pakai energi fosil lha indonesia mayoritas asal batubara alias energi fosil cuma pindah beban polusi bakar energi fosil bangkit rakyat kecil butuh uang usaha lowong kerja bukan kendara dapat per kapita kecil perintah sadar mungkin maksa rakyat kecil dapat bawah dapat per kapita punya buat apa punya atau motor sulit kasih makan anak istri,0
903,jelek mahal siapa mau,0
392,terlalu kecil per sisa bahan,0
1470,apa bau itu,0
34,pake atur buat jd laku larang bahkan ancam pidana jual beli non listtik gampang,0
1206,bagus mulai jabat pegawai kantor indonesia bawa buat contoh rakyat coba mau jabat jabat minta fortuner rubicon,0
625,baterai abc murah masak mahal,0
942,biofuel hydrofuel are the solution,1
10,tepat sasar donk syarat belum tepat subsidi kurang besar jd warga kurang mampu pikir beli anda subsidi jt mungkin warga kurang mampu lebih berani beli,0
1501,hyundai dapet insentif tetap harga lebih mahal bensin,2
1445,lengkap baterai swap emergency walaupun cuma putar roda belakang manfaat hasil daya ngisi baterai bukan regeneratif braking,0
556,model kurang masuk selera turut,0
1218,pertama faktor harga awat t isi ulang terminal isi trus t servis awat kendara minim,1
512,subsidi kenytaanya bukan konsumen dealer pabrikanya motor subsidi kurang batrenya produsen,0
1192,timbang masyarakat alih ev daya angkut ev sedia stasiun charging durasi charging harga charging jarak jelajah tiap charging sedia onderdil sedia opsi kw onderdil harga onderdil sedia bengkel montir harga beli masuk kadar pajak kubur faktor timbang tsb,2
318,tempat charger rata jelas lalu tiba mati jalan gmna donk perintah begok semua,0
1070,daya tahan baterai buat tahan lama hari sekali isi rasa aman laku jalan,0
1451,atur mbulet,1
803,bukan laku blm banyak tempat charging ribed ajah habis baterai,0
329,untung pln ujung harga naik blom fast carger klau cas menit pakai hari mau,2
616,ngantri bbm menit asa lama bget apa charge,0
1091,harga jt gada worth it baru oke masalah moga pihak asing mau buka pabrik baterai indonesia lebih murah,2
1273,tara lcgc yakin laris infrastruktur nihil,2
694,baca berita kompas bayi bulan jakarta alami gejala batuk pilek sesak nafas kualitas udara jakarta buruk bahaya resiko kanker intai anak anak ingat waktu pandemi kemarin kerja rumah kualitas udara jakarta jadi sangat baik banyak lalu lalang mayoritas lalu lalang ev tentu si bayi perlu derita semua jangan lupa pakai masker pergi,0
515,hemat hemat benar praktis praktis sungguh,2
395,jelas mahal charging lama jelajah pendek dpminan no,0
1035,orang goblok sekarang resesi gimana mau beli sekarang orang mikirnya gimana makan,0
1413,lebih baik remaja lama drpd buat baru mmg tuju ramah lingkung booming jenis bbm langka buat sampah otomotif makin byk lebih baik lama remaja hemat bbm lagi kualitas kokoh lama akan selamat jd prioritas dlm kendara,0
907,paksa kendara perut rakyat banyak lapar harus perut dulu penuh baru kendara pikir sederhana roket,0
1116,buat indo battery murah,0
1368,mahal susah mw mudik pelosok,0
55,jelas dunia butuh kendara bas dunia butuh energi baru nyinyir go to hel kalian,0
94,transportasi umum jakarta lrt mrt bus kurang pada jangkau semua jalan jakarta terlalu sumpek macet jangan tambah tambah pribadi atau bbm benah dulu transportasi umum jalan jalan kecil bus bus layak ber ac,0
1396,charging station dimsna,1
387,sangat mahal,0
838,hm ev mau cepet laku duit buat subsidi lcgc mending hapus buat ada spklu lebih baru subsidi sebut alih ev,2
888,indonesia jln bnyk hancur tinggu jln semua mulus baru ku beli,0
670,mau bikin erp mending cicil bayar wuling ev china cuma sampe juta sini jt tdnya mau beli temen blg bgitu kok jd brasa goblok beli up mahal,0
1477,ahli sekarang sbg transisi plg efisien mbl hybrid teknologi baterai mulai tambang daur ulang baik cost efektif,2
1431,kota sangat lemah mungkin tetap tahan buat jepang samping lebih gesit isi minyak banding isi baterai,0
390,jelas harga beli token swap motor sama harga beli bbm sama boong apalgi ken mayoritas orang indonesia pergi jauh cepet buat cuman kerja sih,2
989,rakyat butuh motor atau kereta cepat atau ibukota baru butuh rakyat umum segera berantas tikus anjing bajing koruptor usak negara bikin pertalite naik hutang negara bengkak gunung bikin harga naik pajak naik banyak phk anggur gelandang emis jahat dl rakyat butuh kerja hasil makan anak sekolah dl hai jabat kroni hidup sekali dunia jangan rakus serakah pikir rakyat negara tempat lahir besar sih curi uang rakyat indonesia maju makmur,0
1465,nik sih sama sama arti keluarga subsidi lebih sekali,2
945,mungkin laris harga juta terus muat orang,2
915,ngotak orang ekonomi merosot bukan mkir cara naik ekonomi,0
1148,perintah aneh ngasih atur kayak riset dulu syarat dapet subsidi motor salah satu warga miskin kapasitas rumah lha wong motor daya charging lebih wat kok subsidi orang punya daya rumah wat aneh kmrn ngajuin lewat aplikasi pln ac gara rumah wat padahal motor mau beli daya charge wat lebih parah aneh,0
1071,orang suka rakyat,2
1019,baterai model gas lpg copot pasang nga perlu lama lama isi apa beli mini market rumah,0
28,subsidi bbm cabut mahal trus muncul si bilang hemat sih analogi okok non okok banyak teori rokok hari sekian bulan sekian tahun kebel nmax fakta rokok kebel motor tetap sama kredit biarpun rokok kumpul duit segitu pake bbm keluar biaya sekian biaya perawan dl tahun sekian juta pake cuma sekian,0
554,bacot tu tri kepresindenan kampanye ev datang pamer ev naik alphard,0
1165,apa apa order online rakyat cuma butuh rumah murah kuota internet murah smartphone murah,0
1101,banyak kurang harga kelas llangit,0
108,charger menit km baru jos,1
1147,okay versi awal yah tau depan orang indo kn sabar isi bensin ful tank jalan ngecas lama nunggu haduh blm lewat lintas kebun sana sini tahu takar orang indo pakai dalam kota pakai mudik kalah penting onderdil kw bekas baterai limbah olah bensin keluar polusi udara,0
1166,daerah sih mau chas kadang cas rumah banyak kuat daya,2
775,regone kendara e ki lo,1
783,sih tuju banget ada ev perintah mulai paling korupsi ikut turun sering mark up nota bensin perintah bakal kurang hasil bayar isi otomatis bayar negara pln ayo tunjukin serius perintah ajak masyarakat alih ev mesti perintah duluan pertama ganti semua kendara dinas plat merah seluruh negeri kendara bbm kitin aza ntar mau mau infrastruktur spt spklu bakal nambah banyak seluruh negeri otomatis jabat negara bakal ngusahain spklu nambah banyak ngajak keluarga jalan pake dinas ev ayo gassken,1
117,harga pajak sarana prasarana lebih murah banding bbm,2
1473,dealer kendara rata seluruh indonesia,0
1505,mo hidup enak banyakin duit,0
1050,begal partai soal suply batrai jg ngk percaya cek,0
848,batre rusak tara ganti bos,2
50,banyak bahas efisiensi kurang polusi udara ceo toyota produksi cemar udara toyota usai buat bagaimana capai jabat level ceo usaha,0
671,banyak jalan sempit makin macet,0
746,spbu tambah fasilitas buat charging usa mikir lahan tinggal instalasi,0
771,terlalu mahal batrenya,0
